,rec_source,data_provider,country_name,country_iso_code,validity_date,attribute,value,value_units
28,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Monaco,MCO,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",102.73931433804547,kt CO2e
29,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Netherlands,NLD,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",219596.54131891803,kt CO2e
30,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,New Zealand,NZL,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",65196.98063213224,kt CO2e
31,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Norway,NOR,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",51431.79118650436,kt CO2e
32,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Poland,POL,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",475872.745815169,kt CO2e
33,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Portugal,PRT,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",58365.6825851972,kt CO2e
34,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Romania,ROU,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",249696.53022375313,kt CO2e
35,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Russian Federation,RUS,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",3162627.604860984,kt CO2e
36,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Slovakia,SVK,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",73374.79171731797,kt CO2e
37,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Slovenia,SVN,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",18598.85244460023,kt CO2e
38,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Spain,ESP,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",290103.67264415027,kt CO2e
39,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Sweden,SWE,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",71441.55460444231,kt CO2e
40,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Switzerland,CHE,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",53566.24761712522,kt CO2e
41,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Türkiye,TUR,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",219720.00140677099,kt CO2e
42,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Ukraine,UKR,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",942389.6160886558,kt CO2e
43,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,United Kingdom of Great Britain and Northern Ireland,GBR,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",797015.7663596321,kt CO2e
44,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,United States of America,USA,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",6453450.223251879,kt CO2e
45,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Australia,AUS,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",425686.444956654,kt CO2e
46,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Austria,AUT,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",82095.38649411147,kt CO2e
47,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Belarus,BLR,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",140015.45440375668,kt CO2e
48,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Belgium,BEL,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",148406.62074129083,kt CO2e
49,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Bulgaria,BGR,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",80200.0312201815,kt CO2e
50,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Canada,CAN,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",587905.7938846506,kt CO2e
51,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Croatia,HRV,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",24719.60351469125,kt CO2e
52,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Cyprus,CYP,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",6077.964150301298,kt CO2e
53,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Czechia,CZE,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",178725.4236498119,kt CO2e
54,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Denmark,DNK,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",82054.15223034224,kt CO2e
55,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Estonia,EST,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",37295.32423567461,kt CO2e
58,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Finland,FIN,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",68929.12027182603,kt CO2e
59,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,France,FRA,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",574174.3336639642,kt CO2e
60,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Germany,DEU,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",1195966.137569707,kt CO2e
61,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Greece,GRC,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",103503.17769845077,kt CO2e
62,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Hungary,HUN,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",88340.31983644444,kt CO2e
63,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Iceland,ISL,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",3459.8516663252744,kt CO2e
64,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Ireland,IRL,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",55674.524821669285,kt CO2e
65,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Italy,ITA,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",521154.08785825496,kt CO2e
66,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Japan,JPN,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",1284360.8463660353,kt CO2e
67,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Kazakhstan,KAZ,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",370312.18885787466,kt CO2e
68,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Latvia,LVA,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",23972.53480562262,kt CO2e
69,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Liechtenstein,LIE,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",236.04346918340863,kt CO2e
70,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Lithuania,LTU,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",49843.94414509686,kt CO2e
71,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Luxembourg,LUX,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",13373.874089073639,kt CO2e
72,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Malta,MLT,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",2452.203958556683,kt CO2e
73,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Monaco,MCO,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",103.59711432302493,kt CO2e
74,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Netherlands,NLD,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",227256.54801143002,kt CO2e
75,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,New Zealand,NZL,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",66175.52674574775,kt CO2e
76,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Norway,NOR,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",49025.04693037642,kt CO2e
77,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Poland,POL,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",463801.21294248255,kt CO2e
78,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Portugal,PRT,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",60288.06293839859,kt CO2e
79,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Romania,ROU,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",205870.9590089162,kt CO2e
80,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Russian Federation,RUS,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",3001659.103976008,kt CO2e
81,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Slovakia,SVK,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",63918.512692933684,kt CO2e
82,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Slovenia,SVN,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",17246.78263084555,kt CO2e
83,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Spain,ESP,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",297816.59744729183,kt CO2e
84,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Sweden,SWE,1991,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",71688.51641271339,kt CO2e
